type,status,date,slug,title,chars,link
post,publish,2015-05-27,henkinen-kriisinkestavyys,Tuhoutumattomuuden tiellä: henkinen kriisinkestävyys,16897,https://mattiheino.com/2015/05/27/henkinen-kriisinkestavyys/
page,draft,2015-09-23,research-the-academic-stuff,Research (some academic stuff),1585,https://mattiheino.com/?page_id=1051
post,publish,2015-09-23,tyomarkkinoiden-uudet-vaateet,Työmarkkinoiden uudet vaateet,8103,https://mattiheino.com/2015/09/23/tyomarkkinoiden-uudet-vaateet/
post,publish,2015-10-10,defeating-the-crisis-of-confidence-in-science-3-3-ideas,Defeating the crisis of confidence in science: 3 + 3 ideas,16562,https://mattiheino.com/2015/10/10/defeating-the-crisis-of-confidence-in-science-3-3-ideas/
post,publish,2015-10-10,taking-back-the-power-in-cluster-randomization,Taking back the power (in cluster randomization),6304,https://mattiheino.com/2015/10/10/taking-back-the-power-in-cluster-randomization/
page,draft,2015-12-05,,Welcome / Tervetuloa,19,https://mattiheino.com/?page_id=1145
post,publish,2016-01-30,bias-meditation-clarity,"Bias, meditation and the pursuit of clarity",6754,https://mattiheino.com/2016/01/30/bias-meditation-clarity/
post,publish,2016-02-28,welcome-tervetuloa,Welcome / Tervetuloa!,16974,https://mattiheino.com/2016/02/28/welcome-tervetuloa/
post,publish,2016-04-26,analyse-your-design,"Analyse your research design, before someone else does",6112,https://mattiheino.com/2016/04/26/analyse-your-design/
post,publish,2016-05-03,myth-of-the-magical-because,The myth of the magical &#8220;Because&#8221;,5744,https://mattiheino.com/2016/05/03/myth-of-the-magical-because/
post,publish,2016-08-05,introducing-raistlin-laplace,Introducing Raistlin Laplace,6894,https://mattiheino.com/2016/08/05/introducing-raistlin-laplace/
post,publish,2016-08-05,esittelyssa-raistlin-laplace,Esittelyssä Raistlin Laplace,6801,https://mattiheino.com/2016/08/05/esittelyssa-raistlin-laplace/
post,publish,2016-08-19,short-intro-to-whats-up,A short intro to what's up,783,https://mattiheino.com/2016/08/19/short-intro-to-whats-up/
post,publish,2016-08-26,getting-started-with-bayes,Getting Started With Bayes,2400,https://mattiheino.com/2016/08/26/getting-started-with-bayes/
post,publish,2016-11-01,feed-the-beast,How lack of transparency feeds the beast,1505,https://mattiheino.com/2016/11/01/feed-the-beast/
post,publish,2016-11-13,legacy-of-psychology,The legacy of social psychology,11285,https://mattiheino.com/2016/11/13/legacy-of-psychology/
post,publish,2016-12-02,p-walks-into-a-bar-chart,The art of expecting p-values,14233,https://mattiheino.com/2016/12/02/p-walks-into-a-bar-chart/
post,publish,2016-12-27,deterministic-not-predictable,Deterministic doesn't mean predictable,9215,https://mattiheino.com/2016/12/27/deterministic-not-predictable/
post,publish,2017-02-13,death-doesnt-kill-you-and-other-reasons-to-study-behaviour-change,Death doesn't kill you (and other reasons to study behaviour change),339,https://mattiheino.com/2017/02/13/death-doesnt-kill-you-and-other-reasons-to-study-behaviour-change/
